model_name,sample_size,method,tree_idx,tree,num_contexts,sample_idx,opt
model1,5000,smc,1,00 1 10,3,59,0
model1,5000,smc,2,000 1 10 100,4,59,0
model1,5000,smc,3,0000 1 10 100 1000,5,59,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,59,0
model1,5000,smc,0,0 1,2,60,0
model1,5000,smc,1,00 1 10,3,60,0
model1,5000,smc,2,000 1 10 100,4,60,0
model1,5000,smc,3,0000 1 10 100 1000,5,60,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,60,0
model1,5000,smc,0,0 1,2,61,0
model1,5000,smc,1,00 1 10,3,61,0
model1,5000,smc,2,000 1 10 100,4,61,0
model1,5000,smc,3,0000 1 10 100 1000,5,61,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,61,0
model1,5000,smc,0,0 1,2,62,0
model1,5000,smc,1,00 1 10,3,62,0
model1,5000,smc,2,000 1 10 100,4,62,0
model1,5000,smc,3,0000 1 10 100 1000,5,62,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,62,1
model1,5000,smc,0,0 1,2,63,0
model1,5000,smc,1,00 1 10,3,63,0
model1,5000,smc,2,00000 1 10 100 1000 10000,6,63,1
model1,5000,smc,0,0 1,2,64,0
model1,5000,smc,1,00 1 10,3,64,0
model1,5000,smc,2,000 1 10 100,4,64,1
model1,5000,smc,3,00000 1 10 100 1000 10000,6,64,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,64,0
model1,5000,smc,0,0 1,2,65,0
model1,5000,smc,1,00 1 10,3,65,0
model1,5000,smc,2,000 1 10 100,4,65,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,65,0
model1,5000,smc,0,0 1,2,66,0
model1,5000,smc,1,00 1 10,3,66,0
model1,5000,smc,2,0000 1 10 100 1000,5,66,1
model1,5000,smc,3,00000 1 10 100 1000 10000,6,66,0
model1,5000,smc,0,0 1,2,67,0
model1,5000,smc,1,00 1 10,3,67,0
model1,5000,smc,2,000 1 10 100,4,67,0
model1,5000,smc,3,0000 1 10 100 1000,5,67,0
model1,5000,smc,4,00000 1 10 100 1000 10000,6,67,1
model1,5000,smc,0,0 1,2,68,0
model1,5000,smc,1,00 1 10,3,68,0
model1,5000,smc,2,000 1 10 100,4,68,0
model1,5000,smc,3,0000 1 10 100 1000,5,68,1
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,68,0
model1,5000,smc,0,0 1,2,69,0
model1,5000,smc,1,00 1 10,3,69,0
model1,5000,smc,2,000 1 10 100,4,69,1
model1,5000,smc,3,000000 1 10 100 1000 10000 100000,7,69,0
model1,5000,smc,0,0 1,2,70,0
model1,5000,smc,1,00 1 10,3,70,0
model1,5000,smc,2,000 1 10 100,4,70,0
model1,5000,smc,3,0000 1 10 100 1000,5,70,0
model1,5000,smc,4,00000 1 10 100 1000 10000,6,70,1
model1,5000,smc,5,000000 1 10 100 1000 10000 100000,7,70,0
model1,5000,smc,0,0 1,2,71,0
model1,5000,smc,1,00 1 10,3,71,0
model1,5000,smc,2,000 1 10 100,4,71,0
model1,5000,smc,3,0000 1 10 100 1000,5,71,0
model1,5000,smc,4,000000 1 10 100 1000 10000 100000,7,71,1
model1,5000,smc,0,0 1,2,72,0
