model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt
model1,9,prune,14,00000 00100 1 10 1000 10000 10100,7,-1631.0510892651137,1
model1,9,prune,15,00000 1 10 100 1000 10000,6,-1631.1769270491413,0
model1,9,prune,16,0000 1 10 100 1000,5,-1632.871534869243,0
model1,9,prune,17,000 1 10 100,4,-1636.667858467074,0
model1,9,prune,18,00 1 10,3,-1640.2951723630063,0
model1,9,prune,19,0 1,2,-1664.3613303747763,0
model1,10,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-1674.3209883868276,0
model1,10,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,-1674.3209883868276,0
model1,10,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,-1674.3209883868276,0
model1,10,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-1674.3209883868276,0
model1,10,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,-1674.3209883868276,0
model1,10,prune,5,000000 000010 0001 000100 001000 001010 10000 100000 100010 1001 10010 100100 101 10100 101000 101010,16,-1674.3209883868274,0
model1,10,prune,6,000000 000010 000100 001 001000 001010 10000 100000 100010 10010 100100 101 10100 101000 101010,15,-1674.3209883868276,0
model1,10,prune,7,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1674.3209883868276,0
model1,10,prune,8,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010,13,-1674.3457352702587,0
model1,10,prune,9,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-1674.4459026071859,0
model1,10,prune,10,00000 00010 00100 001000 001010 1 10000 10010 10100 101000 101010,11,-1674.661038064885,0
model1,10,prune,11,00000 00010 00100 001000 1 10000 10010 1010 10100 101000,10,-1674.8917838055092,0
model1,10,prune,12,00000 0010 00100 001000 1 10000 1010 10100 101000,9,-1675.143972065817,0
model1,10,prune,13,00000 0010 001000 1 100 10000 1010 101000,8,-1675.8518729461387,0
model1,10,prune,14,00000 001000 1 10 100 10000 101000,7,-1678.3335002238323,0
model1,10,prune,15,00000 1 10 100 1000 10000,6,-1679.5771003211269,0
model1,10,prune,16,0000 1 10 100 1000,5,-1680.9743634856707,0
model1,10,prune,17,000 1 10 100,4,-1681.2469252234314,0
model1,10,prune,18,00 1 10,3,-1681.290260215931,0
model1,10,prune,19,0 1,2,-1685.0049496639804,1
model1,11,prune,0,00000 000001 000010 000100 000101 001000 001001 001010 10000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,20,-1636.9526479869728,0
model1,11,prune,1,00000 00001 000010 000100 000101 001000 001001 001010 10000 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,19,-1636.9526479869728,0
model1,11,prune,2,00000 000010 0001 000100 000101 001000 001001 001010 10000 100010 10010 100100 100101 10100 101000 101001 10101 101010,18,-1636.9526479869728,0
model1,11,prune,3,00000 000010 0001 000100 000101 001000 001010 10000 100010 1001 10010 100100 100101 10100 101000 10101 101010,17,-1636.9526479869728,0
model1,11,prune,4,00000 000010 000100 000101 001 001000 001010 10000 100010 10010 100100 100101 10100 101000 10101 101010,16,-1636.9526479869726,0
model1,11,prune,5,00000 000010 000100 001 001000 00101 001010 10000 100010 10010 100100 10100 101000 10101 101010,15,-1636.9526479869728,0
model1,11,prune,6,00000 000010 000100 001 001000 001010 10000 100010 10010 100100 101 10100 101000 101010,14,-1636.9526479869728,0
model1,11,prune,7,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1636.9526479869728,0
model1,11,prune,8,00000 00010 000100 001000 001010 1 10000 10010 100100 10100 101000 101010,12,-1636.9601572996949,0
model1,11,prune,9,00000 000100 0010 001000 001010 1 10000 100100 10100 101000 101010,11,-1636.9638288638325,0
model1,11,prune,10,00000 0010 00100 001000 001010 1 10000 10100 101000 101010,10,-1637.013210493487,0
model1,11,prune,11,00000 0010 001000 001010 1 100 10000 101000 101010,9,-1637.0836754388,0
model1,11,prune,12,00000 0010 001000 1 100 10000 1010 101000,8,-1637.7817770010338,0
model1,11,prune,13,00000 001000 1 10 100 10000 101000,7,-1638.0235196956726,0
model1,11,prune,14,0000 001000 1 10 100 101000,6,-1638.7819516379195,0
model1,11,prune,15,0000 1 10 100 1000,5,-1639.773482654453,0
model1,11,prune,16,000 1 10 100,4,-1642.288959208323,0
model1,11,prune,17,00 1 10,3,-1644.9603247452906,1
model1,11,prune,18,0 1,2,-1665.3831914987427,0
model1,12,prune,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010,21,-1714.3054438377724,0
model1,12,prune,1,000000 000001 000010 000100 001000 001001 00101 001010 10000 100000 100001 10001 100010 10010 100100 10100 101000 101001 10101 101010,20,-1714.3054438377724,0
model1,12,prune,2,000000 000001 000010 000100 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 101 10100 101000 101001 101010,19,-1714.3054438377724,0
model1,12,prune,3,000000 000001 000010 000100 001000 001010 10000 100000 100001 10001 100010 1001 10010 100100 101 10100 101000 101010,18,-1714.3054438377724,0
model1,12,prune,4,000000 00001 000010 000100 001000 001010 10000 100000 10001 100010 1001 10010 100100 101 10100 101000 101010,17,-1714.3054438377724,0
