model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,24,smc,0.05665768457274588,4,000000 0010 00100 001010 1 1000 10000 100000 10100 101010,10,-1646.0524564186098,0,7
model1,24,smc,0.11139834713758617,5,000 0010 00100 001010 1 10100 101010,7,-1647.4755744228594,0,7
model1,24,smc,0.12408385897421662,6,00 0010 001010 1 101010,5,-1648.5324042929262,0,7
model1,24,smc,0.17410954042224602,7,00 1 10,3,-1650.0153051814468,1,7
model1,24,smc,2.8400193635035884,8,0 1,2,-1662.1098016632104,0,7
model1,24,smc,408.9169940178125,9,,1,-3403.5223134432417,0,7
model1,25,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1695.7679875214926,0,6
model1,25,smc,0.002637505531311035,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1695.7792009170603,0,6
model1,25,smc,0.045537722308086614,2,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010,11,-1696.1670200694348,0,6
model1,25,smc,0.05696680326290302,3,0000 000010 001000 001010 1 100 100010 10010 101000 101010,10,-1696.4096169015988,0,6
model1,25,smc,0.12945362416756628,4,0000 0010 001000 001010 1 100 101000 101010,8,-1697.512195442137,0,6
model1,25,smc,0.22190628767289453,5,0000 001000 1 10 100 101000,6,-1699.4022006497041,0,6
model1,25,smc,0.43522600228311203,6,00 1 10,3,-1704.9624653088163,1,6
model1,25,smc,2.838511202862664,7,0 1,2,-1717.0505345492434,0,6
model1,25,smc,394.2316255518904,8,,1,-3395.923973557884,0,6
model1,26,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1610.1083304473323,0,5
model1,26,smc,0.025227665901184082,1,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000,13,-1610.2157587406962,0,5
model1,26,smc,0.06549602217176265,2,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000,12,-1610.4946719655475,0,5
