sample_idx,tree_idx,tree
29,5,000000 0010 1 100 1000 10000 100000 1010
29,6,000000 1 10 100 1000 10000 100000
29,7,00 1 10
29,8,0 1
30,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
30,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
30,2,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010
30,3,000000 00010 00100 001010 1 1000 10000 100000 10010 10100 101010
30,4,000000 00010 00100 1 1000 10000 100000 10010 1010 10100
30,5,000000 0010 00100 1 1000 10000 100000 1010 10100
30,6,00000 0010 00100 1 1000 10000 1010 10100
30,7,000 0010 00100 1 1010 10100
30,8,000 00100 1 10 10100
30,9,000 1 10 100
30,10,00 1 10
30,11,0 1
31,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
31,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
31,2,000000 00010 000100 001000 001010 1 10000 100000 10010 100100 10100 101000 101010
31,3,000000 00010 000100 001010 1 1000 10000 100000 10010 100100 10100 101010
31,4,00000 00010 000100 001010 1 1000 10000 10010 100100 10100 101010
31,5,000 00010 000100 001010 1 10010 100100 10100 101010
31,6,000 000100 0010 001010 1 100100 10100 101010
31,7,000 0010 001010 1 100 101010
31,8,000 1 10 100
31,9,00 1 10
31,10,0 1
32,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
32,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
32,2,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
32,3,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010
32,4,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010
32,5,00000 00010 001000 001010 1 100 10000 10010 101000 101010
32,6,00000 0010 001000 001010 1 100 10000 101000 101010
32,7,0000 0010 001000 001010 1 100 101000 101010
32,8,00 0010 001010 1 101010
32,9,00 1 10
32,10,0 1
33,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
33,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
33,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
33,3,000000 0010 00100 001000 001010 1 10000 100000 10100 101000 101010
33,4,000000 0010 00100 001010 1 1000 10000 100000 10100 101010
33,5,000000 00100 1 10 1000 10000 100000 10100
33,6,000 00100 1 10 10100
33,7,00 1 10
33,8,0 1
34,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
34,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
34,2,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
34,3,00000 000010 00100 001000 001010 1 10000 100010 10010 10100 101000 101010
34,4,00000 000010 001000 001010 1 100 10000 100010 10010 101000 101010
34,5,00000 000010 001000 1 100 10000 100010 10010 1010 101000
34,6,00000 00010 001000 1 100 10000 10010 1010 101000
34,7,00000 00010 1 100 1000 10000 10010 1010
34,8,000 00010 1 100 10010 1010
34,9,000 1 10 100
34,10,00 1 10
34,11,0 1
35,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
35,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
35,2,000000 000010 00100 001000 1 10000 100000 100010 10010 1010 10100 101000
35,3,000000 00010 00100 001000 1 10000 100000 10010 1010 10100 101000
35,4,000000 00100 001000 1 10 10000 100000 10100 101000
35,5,000000 00100 1 10 1000 10000 100000 10100
35,6,000000 1 10 100 1000 10000 100000
35,7,000 1 10 100
35,8,00 1 10
35,9,0 1
36,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
36,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
36,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
36,3,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010
36,4,000000 000010 00100 1 1000 10000 100000 100010 10010 1010 10100
36,5,000000 000010 1 100 1000 10000 100000 100010 10010 1010
36,6,000000 00010 1 100 1000 10000 100000 10010 1010
36,7,000000 0010 1 100 1000 10000 100000 1010
36,8,000000 1 10 100 1000 10000 100000
36,9,00 1 10
36,10,0 1
37,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
37,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
37,2,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010
37,3,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010
37,4,000000 00010 00100 001010 1 1000 10000 100000 10010 10100 101010
37,5,000000 0010 00100 001010 1 1000 10000 100000 10100 101010
37,6,000000 00100 1 10 1000 10000 100000 10100
37,7,000000 1 10 100 1000 10000 100000
37,8,000 1 10 100
37,9,00 1 10
37,10,0 1
38,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
38,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
38,2,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010
38,3,000000 000010 00100 001010 1 1000 10000 100000 100010 10010 10100 101010
38,4,00000 000010 00100 001010 1 1000 10000 100010 10010 10100 101010
38,5,00000 000010 00100 1 1000 10000 100010 10010 1010 10100
38,6,00000 000010 1 100 1000 10000 100010 10010 1010
38,7,00000 00010 1 100 1000 10000 10010 1010
38,8,000 00010 1 100 10010 1010
38,9,000 1 10 100
38,10,00 1 10
38,11,0 1
39,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
39,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
39,2,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
39,3,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000
39,4,00000 000100 001000 1 10 10000 100100 10100 101000
39,5,0000 000100 001000 1 10 100100 10100 101000
39,6,000 000100 1 10 100100 10100
39,7,000 00100 1 10 10100
39,8,000 1 10 100
39,9,00 1 10
39,10,0 1
40,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
40,1,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010
40,2,000000 000010 000100 001000 1 10000 100000 100010 10010 100100 1010 10100 101000
40,3,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000
40,4,00000 00010 000100 001000 1 10000 10010 100100 1010 10100 101000
40,5,00000 00010 000100 1 1000 10000 10010 100100 1010 10100
40,6,00000 000100 0010 1 1000 10000 100100 1010 10100
40,7,00000 000100 1 10 1000 10000 100100 10100
40,8,00000 1 10 100 1000 10000
40,9,00 1 10
40,10,0 1
41,0,000000 000001 000010 000100 000101 001000 001001 001010 10000 100000 100001 10001 100010 10010 100100 100101 10100 101000 101001 10101 101010
41,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010
41,2,00000 000010 000100 001000 1 10000 100010 10010 100100 1010 10100 101000
41,3,00000 000010 000100 1 1000 10000 100010 10010 100100 1010 10100
41,4,00000 000010 1 100 1000 10000 100010 10010 1010
